iter	Passed	Remaining
592	105262	249753
593	105448	249596
594	105625	249417
595	105806	249249
596	105995	249098
597	106161	248893
598	106330	248695
599	106515	248536
600	106684	248339
601	106878	248200
602	107065	248044
603	107239	247858
604	107419	247686
605	107607	247532
606	107790	247366
607	108001	247266
608	108167	247062
609	108350	246897
610	108530	246724
611	108707	246545
612	108885	246367
613	109062	246189
614	109230	245991
615	109421	245843
616	109596	245659
617	109759	245448
618	109940	245279
619	110114	245094
620	110271	244870
621	110444	244683
622	110624	244509
623	110790	244308
624	110962	244117
625	111134	243926
626	111308	243743
627	111484	243561
628	111661	243382
629	111836	243199
630	112010	243014
631	112184	242828
632	112354	242636
633	112527	242449
634	112729	242323
635	112919	242173
636	113091	241982
637	113274	241817
638	113463	241664
639	113627	241457
640	113818	241309
641	114003	241147
642	114190	240990
643	114367	240811
644	114552	240648
645	114741	240495
646	114931	240344
647	115117	240184
648	115301	240019
649	115467	239818
650	115651	239652
651	115836	239490
652	116002	239287
653	116185	239121
654	116365	238948
655	116564	238814
656	116753	238661
657	116925	238470
658	117100	238287
659	117287	238129
660	117490	238002
661	117661	237811
662	117856	237669
663	118039	237501
664	118222	237334
665	118410	237176
666	118584	236991
667	118768	236826
668	118945	236646
669	119140	236502
670	119304	236298
671	119482	236120
672	119660	235942
673	119840	235770
674	120018	235592
675	120195	235412
676	120377	235243
677	120560	235074
678	120731	234883
679	120916	234720
680	121088	234530
681	121266	234353
682	121431	234151
683	121633	234020
684	121799	233818
685	121971	233630
686	122153	233460
687	122330	233280
688	122503	233095
689	122678	232910
690	122842	232706
691	123018	232525
692	123185	232328
693	123366	232156
694	123539	231970
695	123707	231773
696	123889	231604
697	124075	231442
698	124261	231278
699	124448	231118
700	124640	230966
701	124819	230792
702	125006	230630
703	125190	230464
704	125371	230292
705	125601	230209
706	125810	230088
707	126010	229951
708	126212	229817
709	126403	229663
710	126595	229510
711	126782	229348
712	126989	229223
713	127179	229064
714	127372	228913
715	127604	228832
716	127784	228658
717	127979	228508
718	128171	228355
719	128357	228190
720	128552	228042
721	128737	227875
722	128932	227727
723	129119	227563
724	129293	227378
725	129463	227184
726	129633	226992
727	129824	226835
728	129997	226648
729	130173	226465
730	130380	226337
731	130593	226219
732	130775	226047
733	130951	225864
734	131122	225673
735	131302	225497
736	131486	225328
737	131657	225138
738	131852	224988
739	132018	224788
740	132196	224609
741	132368	224419
742	132550	224246
743	132733	224076
744	132913	223900
745	133091	223721
746	133277	223556
747	133447	223364
748	133630	223192
749	133808	223014
750	133993	222846
751	134172	222669
752	134338	222470
753	134500	222264
754	134669	222071
755	134836	221874
756	135027	221716
757	135215	221553
758	135406	221395
759	135627	221287
760	135803	221104
761	135995	220948
762	136176	220773
763	136346	220580
764	136525	220404
765	136698	220216
766	136867	220022
767	137047	219847
768	137220	219660
769	137393	219472
770	137578	219303
771	137752	219118
772	137937	218951
773	138124	218785
774	138297	218599
775	138487	218438
776	138665	218260
777	138854	218097
778	139044	217936
779	139221	217756
780	139412	217598
781	139587	217413
782	139771	217244
783	139935	217042
784	140118	216870
785	140332	216747
786	140507	216562
787	140713	216427
788	140900	216261
789	141080	216084
790	141256	215902
791	141444	215739
792	141637	215582
793	141819	215408
794	142011	215250
795	142199	215085
796	142380	214910
797	142558	214730
798	142734	214548
799	142922	214384
800	143110	214218
801	143281	214028
802	143480	213880
803	143677	213728
804	143852	213544
805	144021	213352
806	144206	213182
807	144381	212999
808	144566	212829
809	144755	212664
810	144934	212486
811	145103	212294
812	145276	212107
813	145452	211924
814	145622	211733
815	145799	211552
816	145984	211382
817	146154	211190
818	146324	211000
819	146508	210829
820	146732	210715
821	146909	210534
822	147085	210351
823	147274	210187
824	147461	210020
825	147637	209838
826	147825	209672
827	148011	209503
828	148200	209339
829	148382	209165
830	148562	208988
831	148747	208818
832	148940	208659
833	149126	208491
834	149294	208297
835	149466	208108
836	149650	207936
837	149840	207774
838	150043	207628
839	150228	207458
840	150414	207289
841	150596	207114
842	150769	206928
843	150969	206777
844	151163	206619
845	151338	206435
846	151527	206270
847	151701	206084
848	151893	205924
849	152092	205772
850	152269	205591
851	152455	205421
852	152637	205245
853	152833	205090
854	153002	204898
855	153182	204721
856	153349	204525
857	153516	204331
858	153678	204128
859	153843	203931
860	154009	203735
861	154181	203548
862	154360	203369
863	154555	203212
864	154744	203046
865	154916	202858
866	155095	202680
867	155274	202500
868	155456	202326
869	155672	202195
870	155858	202025
871	156075	201895
872	156261	201725
873	156480	201598
874	156672	201436
875	156924	201350
876	157103	201171
877	157288	201000
878	157479	200835
879	157663	200662
880	157832	200470
881	158012	200292
882	158176	200093
883	158367	199929
884	158552	199758
885	158734	199582
886	158916	199407
887	159130	199271
888	159308	199090
889	159491	198916
890	159666	198731
891	159846	198553
892	160017	198364
893	160204	198195
894	160384	198016
895	160572	197848
896	160754	197672
897	160920	197477
898	161102	197301
899	161269	197107
900	161456	196938
901	161640	196764
902	161826	196593
903	162064	196485
904	162264	196330
905	162440	196147
906	162618	195966
907	162786	195773
908	162989	195623
909	163155	195427
910	163321	195233
911	163493	195045
912	163667	194859
913	163838	194670
914	164020	194494
915	164195	194310
916	164370	194125
917	164547	193944
918	164715	193751
919	164892	193569
920	165064	193381
921	165238	193196
922	165397	192993
923	165579	192817
924	165771	192653
925	165956	192480
926	166147	192315
927	166331	192141
928	166521	191975
929	166695	191789
930	166874	191609
931	167045	191421
932	167295	191322
933	167480	191150
934	167666	190978
935	167874	190831
936	168052	190650
937	168217	190455
938	168405	190285
